cluster,cluster_name,word,frequency,where
6,Competitive Loss,lost to game,1,Situation
6,Competitive Loss,lost to megan,1,Situation
6,Competitive Loss,lost to opponent,1,Situation
6,Competitive Loss,lost to perfectionism,1,Situation
6,Competitive Loss,lost to sam,1,Situation
6,Competitive Loss,lost to violence,1,Situation
6,Competitive Loss,lost ufc bet,1,Situation
6,Competitive Loss,lost weightlifting bet,1,Situation
6,Competitive Loss,lost winning streak,1,Situation
6,Competitive Loss,lost word game,1,Situation
6,Competitive Loss,lost work points,1,Situation
6,Competitive Loss,lottery loss thoughts,1,Situation
6,Competitive Loss,lottery losses,1,Situation
6,Competitive Loss,lottery scratch-off,1,Situation
6,Competitive Loss,lottery scratcher,1,Situation
6,Competitive Loss,lotto,1,Situation
6,Competitive Loss,lotto ticket loss,1,Situation
6,Competitive Loss,made the team,1,Situation
6,Competitive Loss,making a bad bet,1,Association
6,Competitive Loss,manchester united,1,Association
6,Competitive Loss,many time i lost control of my way,1,Association
6,Competitive Loss,marathon finish,1,Situation
6,Competitive Loss,mario kart,1,Situation
6,Competitive Loss,mario kart loss,1,Situation
6,Competitive Loss,missed award recognition,1,Situation
6,Competitive Loss,missed lottery jackpot,1,Situation
6,Competitive Loss,missed the prize,1,Situation
6,Competitive Loss,missing out prize,1,Situation
6,Competitive Loss,missing sports team,1,Situation
6,Competitive Loss,money (i.e. gambling),1,Association
6,Competitive Loss,money in casino,1,Situation
6,Competitive Loss,my baseball team,1,Situation
6,Competitive Loss,my football team is having a rough year,1,Association
6,Competitive Loss,my team lost the game,1,Association
6,Competitive Loss,new york mets,1,Association
6,Competitive Loss,next game,1,Association
6,Competitive Loss,no one likes losers,1,Association
6,Competitive Loss,no points,1,Association
6,Competitive Loss,no rare cards,1,Situation
6,Competitive Loss,no winners at the race track,1,Association
6,Competitive Loss,no winners in election which loses control of one of the houses,1,Association
6,Competitive Loss,no winning,1,Association
6,Competitive Loss,not 1st place,1,Association
6,Competitive Loss,not a win,1,Association
6,Competitive Loss,not coming first,1,Association
6,Competitive Loss,not passing finish line,1,Association
6,Competitive Loss,not the champion,1,Association
6,Competitive Loss,not the winner,1,Association
6,Competitive Loss,not winner,1,Association
6,Competitive Loss,not winning a game,1,Association
6,Competitive Loss,not winning at life,1,Association
6,Competitive Loss,not winning at something,1,Association
6,Competitive Loss,not winning at sports,1,Association
6,Competitive Loss,not winning contest,1,Situation
6,Competitive Loss,not winning lottery.,1,Association
6,Competitive Loss,"not winning, someone doing better than you.",1,Association
6,Competitive Loss,not winning!,1,Association
6,Competitive Loss,olympic medal loss,1,Situation
6,Competitive Loss,olympics,1,Association
6,Competitive Loss,online argument loss,1,Situation
